,video_id,comments
14,SpOCDsxouJ4,"[""I didn't wanna stretch this video too long, so I kinda rushed over a few parts. So if it's confusing feel free to ask any questions. But happy new years 🎉!\n\nAnyways, what technologies do you guys plan on learning next year? (other than how to invert a binary tree of course)"", 'I would buy an angular course from you.', 'This year, I want to learn Java, C, C++, and add on to Python, Javascript and HTML and CSS to be able to explore VR Development. And of course, I want to finish the 75 Leetcode questions and be able to solve the Leecode Hard in <30 mins.', 'Boring video', '@NeetCode, Can you please add Time and space complexity in code itself , at the end with comment?', 'What is your opinion on GO lang? Do you think it has a bright future @neetcode', 'How should I learn something as a beginner and get employable this year? Currently in a Support role , would love to change into a developer role instead.\nWould love some advices for where I should start to learn', 'I have an aerospace degree, and a few years of inertial navigation analysis experience, and did a couple hundred LC problems. Could I reasonably expect to get considered for a high TC SDE job/get an interview without any development experience? Any help or advice would be great. Love the channel btw, always helped me.', '2:00 - ""using a server side approach where content is already built and rendered"" - could you define \'rendered\' here? Doesn\'t a browser have to \'render\' the page once it gets the html/css information? That is to say, isn\'t the act of a browser painting pixels on your screen the actual rendering piece? If that\'s the case, I think your statement might be misleading. Thanks!', ""SvelteKit all the way. This is the kind of thing that I've been saying that, if you have any leverage in what stack to pick, adopt Svelte. Drop React, it's just a mess of a framework at this point; we need to drive adoption for Svelte.\n\nAlso advocating for Go. It's one of the simplest back end languages you can learn with strong typing and AOT compilation. It can output small binaries to your platform of choice and you can even embed static files inside such binaires, which makes deployment so much easier. No more cluttering your servers with node_modules. Plus Go is great for concurrency  and performing CPU intensive tasks on separate goroutines. Because of this, I feel like Go scales far better than node.js. The only time I choose TS for back end is if I have dozens or even hundreds of data models I need to share between the front and back end, which is almost never.\n\nLastly, if you want to get into cross platform mobile and desktop development, look into Flutter. It's very straightforward and has a great set of UI components.""]"
15,jgQjes7MgTM,"[""Warning, the roadmap is not mobile-friendly AT ALL. But really looking forward to hearing your guys' thoughts! Btw thanks for 300K subscribers, can't believe we started with less than 100K at the beginning of the year :)  hope you all have a good holiday break!\n\n🚀 https://neetcode.io/"", '7:50 ""your girlfriend.. oh wait"" hahahahaha', 'thank you so much, can someone tell me how do i study about that topic before i start a different concept', 'Would you consider this to be good to help prepare for competitions as well?', 'Literally the gOAT', 'Thank you so much!!', 'The site is great, minus the light theme.', 'Can you add a monthly subscription option? I got 99 problems and money is one.', 'I think if you added the Recursion Topic in this chart, The RoadMap will be excellent', ""To get accepted into swe internship I needed to solve a problem with binary search, one with sliding window, and needed to implement a linked list from scratch and that's all. I went overkill up to 2d dp, that was wayyy too much of unneeded learning for such a role. For an internship its enough to know everything up to trees and thats it""]"
16,D9IFZnIhoe4,"[""No, I don't think AI is going to take our jobs..  unless you don't subscribe, at that point anything can happen 😉\n\nThat said I really hope it automate the boring and tedious stuff soon - it's crazy how much of my time at Google is wasted on things like syntax, API interfaces,  manually fixing build rules, and permissions hell."", 'If anything, it should replace middle management. Soulless text that pushes deadlines.', 'What annoys me the most is people saying ""Oh I asked it to program something for me. It didn\'t work properly so we\'re definitely secure"" \nThis is not really the case. Yes it is deeply flawed right now, but get this, we didn\'t have such a program about 3-5 years ago. Now Imagine 10 years from now. Not good? Imagine 20 years from now. IT IS going to grow rapidly. IT WILL be enough to replace a good amount of programmers. Those who can stand out, are those who can think really really out of the box. But AI will be good enough to replace a bunch of programmers. This is what I believe in at least', 'You should make an updated video of gpt4 to compare how fast it improved', 'No it won\'t, because there\'s no AI at all, Yet! It\'s only algorithmic responses we get from ChatGPT. There\'s no intelligence or whatsoever conscientiousness from the program to generate responses. That\'s still decades away from us in the future. Btw, here is what ChatGPT has to say on this when asking if its AI or algorithmics: ""That\'s correct. I don\'t have subjective experiences or consciousness, and my responses are generated based on patterns and information present in the training data. While I can provide helpful and informative responses, it\'s important to understand that I don\'t possess true intelligence or understanding. I am a tool designed to assist with generating text based on the input I receive."" - I think this is a clear answer. There\'s not yet one company who\'s able to create true intelligence. And it\'s very frustrating that those companies even dare to use the name \'AI\' while it\'s sooo far away from it', 'I have similar experience when I was trying to code a game with hexa map in js, it failed to do its job and it seems to me it was easier to write it alone than to reverse engineering what it has done wrong.', 'Am i dumb or do he say take the last element of the array and put in an index of -1? Was this video AI generated?', 'This is already outdated with GPT-4. You should do another one with GPT-4', 'I always think Hollywood has been predicting the future.  If you watch Westworld you will notice those software engineers don\'t code anymore, they just move panels around, drag the sliders, tweak parameters.  If it will come true these type of visual programming will be friendly accessible to everyone.  ""Programming"" will become as simple as using photoshop nowadays.', ""It's sad, lawyers should be replaced by AI, not programmers.""]"
17,jPKTo1iGQiE,"[""Let me know if you guys want more system design content - I've been wanting to do more and have a lot of ideas, so hopefully you all are interested! Let me know, and feel free to drop a like 👍 =)\n\n🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!"", 'Why are you using noSQL and not SQL?', 'I watch this video in 0.5x to understand 😂😂', '11:00 if a user updates his profile picture you don’t need to update it anywhere is the video metadata iff you have chose to name the profile picture as [uid].jpg in this manner you will always have the current profile picture', 'nat/natbot GPT-3 [:"" ""... thank you. id separate the user and uploader work. more cloud design information please.', 'Why dont we skip the first object storage? Like the app server directly adds the video to the queue?', 'Even in sport live streaming, to the end users, they are mostly over TCP. TCP gets your congestion control, error code checking, and guarantee ordering delivery. With live stream, sure it sucks when you are 10 seconds behind or when you see the ""10x speed up"" or ""fuzzy screen"" when there is a slow network, but ultimately as a viewer we still want to see most of the live video to be played. The client side can throw error when there is a consistent connection error, or skip ahead when it finds itself way behind. With UDP you really don\'t get those benefits. TCP reusing connection also helps. In practice, almost no one will use udp. There are other proprietary protocols out there, but most of them depend on tcp.', '21:49 this is not correct. It loaded the chunk over http3/quic which is udp based', 'what books do I need to read for this any suggestions? what exactly is the name of the topic i need to research?', 'Great video. I like the high level stuff.']"
18,dncBmGtYJ9g,"[""Hope you all are taking care of yourselves, we WILL get through this! As you can see, I'm working on my video editing skills to prepare myself for layoffs.. but in seriousness, the grind NEVER stops. As long as you have valuable skills, your employer never has too much power over you.\n\nI'll have some new features coming to https://neetcode.io pretty soon (free).\nAlso, I'll be making coding interview related content on instagram soon, so follow me here if you're interested: https://www.instagram.com/neetcodeio/\n\nBTW if you're interested in working with me on NeetCode stuff please fill out this form: https://forms.gle/ZUmofsb5QeHzexJv9"", 'Your web is really cool and democratic yet. Yeah more democratic than America', '🔥 Do you think today does it still worth to work at FAANG/MANGA companies?', 'มันมีเหตุผลบางอย่างอมขี้มาพูดก็ไม่เชื่อ', 'เพราะมันมีอำนาจอยู่ในมือคนโง่.😂😂😂', 'นี่ทำได้แต่แก้ไม่ได้.สมน่ำหน้า', 'มันขโมยข้อมูลบนGoogleหลังจากนั้น.ฉิบหายหมด', 'สาเหตุมาจากพวกผู้นำโง่ๆบางกลุ่ม', 'แม่งหลอนละ', 'Never understood why tf Netflix was part of ""FAANG""']"
19,o5n85GRKuzk,"['So are you guys interested in working at Twitter? 😅Btw, don\'t forget to ""Batch"" click the like & subscribe buttons.\n\n🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!', 'I always figured using Goalgn for the REST api and SingleStore as the backend DB would offer the most scalability. And then of course caching with Aerospike or Tarantool. SingleStore has graph too I think as well as most data models. On top of that, it has really good compression.', ""First time Kim Kardashian has come up in any tech video I've watched"", '⥊ :D', ""Don't forget ads. Imagine how complex this whole thing becomes when we add in ads."", 'That initial diss on twitter is everything 😂😂', 'I appreciate the effort and care you put into this video but I think it could use a little more focus. Especially at the sharding-for-writes portion. You jumped around a lot to digressions that made that line of thought hard to follow.', 'Elon Musk prob saw this video and is like should be easy why hire SWEs', 'Sorry I think it was not very Clear the sharding strategy regarding Userid and the people the user follows. Imagine someone who almost every user follows (Beyonce). So all people around the world would end up hittting the same shard  ?', 'Hehehe he said sharting']"
20,46dZH7LDbf8,"['🚀 https://neetcode.io/ - Get lifetime access to all current & future courses I create!\n\nShould FryingPan mock interview me next?\n\nThanks to FryingPan for joining, check out his video here: https://youtu.be/bLk27-xKAD0\n\nBtw this is the question I asked: https://leetcode.com/problems/insert-delete-getrandom-o1/\nWe actually solved it on the channel here: https://youtu.be/j4KwhBziOpg', 'What’s the white thing in Pen’s nose? I hope his real world interviewers did not see this episode - 😂', 'Cocky bastard... 0 humility at the end :D... totally disqualified imo', 'I would implement the Get(bool random, Enum<DataType> input) first, then when implementing the Insert, pass each iteration to Get() with random false. If it returns a value then dont insert it as its duplicate. To get random you jusst need to set random to true. Then the remove is straight forward.', 'So our TC for insertion is still o(n), deletion is o(1) and getRandom is same as before. So really only the deletion method became constant time. But i thought neet said all of them can be constant time? Did i miss somethjng?', 'in getRandom function i could just find a random integer as a index  from range(0, len(self.map)) and return the  value at a particular index \nit will also bt O(1)', 'This was fun. Never seen someone so pleased to get the answer :P', 'So funny. I am still struggling with leetcode by just finishing the first 200. And I did not have much interview experience. The video makes me feel like we are all human beings.', 'Def  not getting hired with that attitude.', 'Dude is hilarious']"
21,Hmf7a5u8nCk,"['Btw I was just kidding at end..\n\n🚀 https://neetcode.io/ - A better way to prepare for Coding Interviews', 'laid… off', 'I genuinely hope you are right. If I take it slow and steady and get a job I will come back and thank you for my entire life.', 'I LOVE YOU!', 'shoutout to NeetCode for including a Chrono Trigger OST song at 2:41', '4:10', ""1:01 I don't know, are Google engineers getting laid.. off?"", 'Hi, NeetCode, would you mind to share where and how you find a project to do when you unemployed? I am unemployed now and really anxious since I do not have project for my resume. thank you', '@Neetcode, you are my inspiration....', 'thank you']"
22,akXP6pC0piE,"['This is one of the lessons from my System Design for Beginners course, which is currently on-going on neetcode.io.\n\n 🚀 https://neetcode.io/ - Get lifetime access to all current & future courses I create!', ""Hi Neetcode! (Neetcode Premium User here) can you make videos on software engineering best practices/ technical concepts that is applicable in the industry? like git commands, databases, operating system, APIs, etc? Just concepts that software engineers (entry level at least) should know. If you release any of that, we'd greatly appreciate it! :)"", 'well this app architecture applies only to web applications. For native/desktop apps the architecture could be vastly different...', 'Great channel! Learning so much about system design from you.', 'Is designing a stock or crypto exchange very different?', 'Hey! Is there a part two for this video?', 'thanks, man. this is very helpful!', 'Got a little long in the tooth around the metrics but otherwise pretty good for beginners.', 'not for production. for practice only and locally. mostly python flask php sqlite . and the loggin vm will do the alerts and metrics tasks.', 'very useful thanx for the clear infos. im starting n i have a dumb question: can it all be set up on vms? or at least the most?']"
23,BgLTDT03QtU,"['🚀 https://neetcode.io/ - Get lifetime access to all current & future courses I create!\n\nCode from the video: https://neetcode.io/courses/lessons/big-o-notation', ""I'm feeling so stupid, man. Looks like w/o basic algebra knowledges, there is no way to understand this..."", 'well explained my fried, you summarised two weeks worth of lectures in 20 minutes thanks for this', 'This guy is GOATed!', ""you're the best, thank you! "", 'The best explanation I could find on YouTube, thanks❤', 'Thanks!', 'best BigO notation explanation period.', 'You are just Awesome!!!!', 'can someone explain? when to put n*m instead n^2. in my understanding, they are both the same but has different emphasis? i am correct?']"
24,0K_eZGS5NsU,"['🚀 All of the code is available at: https://neetcode.io/courses/lessons/python-for-coding-interviews\n\nTimestamps:\n1:13 - variables \n2:40 - if-statements\n4:00 - loops\n6:06 - math\n8:40 - arrays\n12:38 - sorting\n13:40 - list comprehension\n14:20 - 2-d arrays\n15:25 - strings\n16:50 - queues\n17:30 - hash sets\n18:25 - hash maps\n20:15 - tuples\n20:55 - heaps\n22:30 - functions\n22:55 - nested functions\n24:20 - classes', 'Thanks sir a lot of topics to Train kudos', ""Great video. Did you touch on linked lists? I might've missed it."", ""i haven't written a line of python but I have an interview in 20 minutes, thank you for this video"", '20:51 Heaps in Python are underrated.', 'This is such a brilliantly constructed video! Thank you so much. Could not have learned all this python I need for interviews without your help!', ""this was so good, I was like 50% confident with my python collection skills and now I am alot more confident. I can simply google what I know that exists even if i forgot the syntax. This is what I truly need content that can show me that something exists to know what to search. We don't know what we don't know"", ""It'd be great if you did this for JS ❤"", 'Goated channel 10000%, would love it if you could do a C++ tutorial of this struture for people looking to move from python to c++ :)', 'should cover heapq with custom __lt__  comes up very often']"
25,qMky6D6YtXU,"['Thank you!', 'For Distinct Subsequences(2:06:10) use modulo on line 14 like this to get the correct answer when length of s is too long:\nif(s[i] == t[j]):\n                cache[(i,j)] = dfs(i + 1, j + 1)%m + dfs(i + 1,  j)%m\n\n\nhere m = int(1e9+7)', '1:38:00', 'is 2d array dp and pointer approach the same  time complexity?', '1:04:00', 'Edit Distance: What if we have fourth option is exchange two adjacent character?', 'Loved it thanks for the amazing explanations❤', 'for coin change 2 problem\ndp=[0]*(amount+1)\r\n        dp[0] = 1\r\n        for coin in coins:\r\n            for i in range(1, amount+1):\r\n                if i - coin >=0:\r\n                    dp[i] += dp[i-coin]\r\n        return dp[-1]', '```py\nclass Solution:\n    def longestCommonSubsequence(self, text1: str, text2: str) -> int:\n\n        dp=[0]*(len(text1)+1)\n        \n        for i in text2:\n            flag = 0\n            \n            for j in range(len(text1)):\n\n                if i==text1[j] and flag == 0:\n                    \n                    if dp[j+1]!=dp[j]+1:\n                        flag=1  \n                        dp[j+1]=dp[j]+1\n                else:\n                    if dp[j+1]>=dp[j]:\n                        flag=0\n                    else:\n                        dp[j+1]=dp[j]\n\n            \n                    \n\n        \n        return dp[-1]\n```  I solved it in O(n) space complexity, beats 99% of the code in both time and memory distribution on leetcode', '@neetcode, are u left handed?']"
26,_i4Yxeh5ceQ,"['🚀 https://neetcode.io - Get access to every current and future course I ever create.\n\nSpreadsheet from the video: https://docs.google.com/spreadsheets/d/1A2PaQKcdwO_lwxz9bAnxXnIQayCouZP6d-ENrBz_NXc/edit?usp=sharing', 'the two variable approach to solving the decode ways is missing in this video, but really helpful video. Thanks a lot.', '13:20, at the last step 5, how many ways to land on the same step land on itself, why 1?', 'Out of curiosity, Why do i need 1 step if i am in step 5, I am already there, right ?', 'why is bottom up solution considered the ""true"" DP solution?', 'What’s the difference between this and recursion', ""I've been watching your videos so much through my interview preparations that your voice sounds like a mother's lullaby to me at this point."", ""I didn't quite get it for the house robber 1 problem after watching 2 times. Maybe I failed in one key thought jump."", '48:36', '38:16']"
